OBJECTID,MUNICIPALITY,COUNTY,ID,STATION,STOP_NUMBER,SE_ANNO_CAD_DATA,LATITUDE,LONGITUDE,LINE_CODE,LAYER,x,y
1,Bayonne,Hudson,1,E. 34th St.,30844,System.Byte[],40.67183492,-74.10746466,HB,LIGHTRAILSTATIONS,601002.779140174,669888.172258526
2,Bayonne,Hudson,2,E. 45th St.,30843,System.Byte[],40.67869494,-74.10164197,HB,LIGHTRAILSTATIONS,602606.500014093,672394.496314108
3,Jersey City,Hudson,3,Danforth Ave,30842,System.Byte[],40.69236168,-74.08726856,HB,LIGHTRAILSTATIONS,606569.484214094,677391.606726691
4,Jersey City,Hudson,4,Richard St.,30841,System.Byte[],40.6991476,-74.07863665,HB,LIGHTRAILSTATIONS,608951.140540011,679875.042704694
5,Jersey City,Hudson,5,West Side Ave.,30840,System.Byte[],40.714558,-74.087584,HB,LIGHTRAILSTATIONS,606444.058611926,685477.216867775
6,Jersey City,Hudson,6,Martin Luther King Dr.,30839,System.Byte[],40.7120988,-74.0773341,HB,LIGHTRAILSTATIONS,609289.585401177,684594.844288692
7,Jersey City,Hudson,7,Garfield Ave.,30838,System.Byte[],40.71057628,-74.07109687,HB,LIGHTRAILSTATIONS,611021.28010051,684048.577008523
8,Jersey City,Hudson,8,Liberty State Park,30837,System.Byte[],40.710375,-74.055813,HB,LIGHTRAILSTATIONS,615258.50686226,683996.30808419
9,Jersey City,Hudson,9,Jersey Ave.,30836,System.Byte[],40.7149822,-74.04848344,HB,LIGHTRAILSTATIONS,617281.720991675,685685.053066276
10,Jersey City,Hudson,10,Marin Blvd.,30835,System.Byte[],40.714436,-74.043247,HB,LIGHTRAILSTATIONS,618734.258112844,685493.579367854
11,Jersey City,Hudson,11,Essex St.,30834,System.Byte[],40.712841,-74.036076,HB,LIGHTRAILSTATIONS,620725.092713844,684922.944026187
12,Jersey City,Hudson,12,Exchange Pl.,30833,System.Byte[],40.71601835,-74.03409078,HB,LIGHTRAILSTATIONS,621269.25960451,686083.355419271
13,Jersey City,Hudson,13,Harborside,30832,System.Byte[],40.71890985,-74.03410958,HB,LIGHTRAILSTATIONS,621258.460741594,687136.690911025
14,Jersey City,Hudson,14,Harismus Cove,30831,System.Byte[],40.72267865,-74.03728639,HB,LIGHTRAILSTATIONS,620370.691191677,688505.000510357
15,Jersey City,Hudson,15,Newport,30830,System.Byte[],40.72681907,-74.03623328,HB,LIGHTRAILSTATIONS,620654.606634341,690014.882005021
16,Hoboken,Hudson,16,Hoboken Terminal,30829,System.Byte[],40.73405051,-74.0292011,HB,LIGHTRAILSTATIONS,622589.40460201,692659.651977941
17,Bayonne,Hudson,17,E. 22nd St,30845,System.Byte[],40.66130356,-74.116456,HB,LIGHTRAILSTATIONS,598525.575433176,666040.661908939
18,Hoboken,Hudson,18,9th Street/Congress St,30827,System.Byte[],40.74887797,-74.03851291,HB,LIGHTRAILSTATIONS,619980.57911101,698047.570007861
19,Jersey City,Hudson,19,2nd Street,30828,System.Byte[],40.74173945,-74.04281065,HB,LIGHTRAILSTATIONS,618803.425625425,695440.784539022
20,Weehawken Twp,Hudson,20,Lincoln Harbor,30826,System.Byte[],40.76140229,-74.02400147,HB,LIGHTRAILSTATIONS,623976.261080258,702631.641220272
21,Weehawken Twp,Hudson,21,Port Imperial,30825,System.Byte[],40.77596751,-74.0127977,HB,LIGHTRAILSTATIONS,627050.243777428,707954.78444536
22,Union City,Hudson,22,Bergenline Ave,30824,System.Byte[],40.7825949,-74.02290139,HB,LIGHTRAILSTATIONS,624238.998415675,710353.770461023
23,North Bergen Twp,Hudson,23,Tonnelle Ave,30823,System.Byte[],40.78732587,-74.03125859,HB,LIGHTRAILSTATIONS,621915.57720951,712064.792957604
24,Newark,Essex,24,Davenport Ave.,30763,System.Byte[],40.77233771,-74.17818803,NS,LIGHTRAILSTATIONS,581251.996135261,706421.255360194
25,Newark,Essex,25,Newark Penn Station,30771,System.Byte[],40.7349256,-74.16348751,NS,LIGHTRAILSTATIONS,585375.622730508,692807.363296688
26,Newark,Essex,26,Military Park,30770,System.Byte[],40.73743526,-74.17079142,NS,LIGHTRAILSTATIONS,583348.212743342,693713.951378524
27,Newark,Essex,27,Washington St.,30769,System.Byte[],40.73834896,-74.1740335,NS,LIGHTRAILSTATIONS,582448.599057008,694043.457281187
28,Newark,Essex,28,Warren St.,30768,System.Byte[],40.74240906,-74.18118796,NS,LIGHTRAILSTATIONS,580460.761169177,695515.260768026
29,Newark,Essex,29,Norfolk St.,30767,System.Byte[],40.74534166,-74.1830076,NS,LIGHTRAILSTATIONS,579952.719862428,696581.775695354
30,Newark,Essex,30,Branch Brook Park,30762,System.Byte[],40.77963817,-74.1746642,NS,LIGHTRAILSTATIONS,582218.072287094,709084.408170357
31,Newark,Essex,31,Bloomfield Ave.,30764,System.Byte[],40.76543536,-74.17988189,NS,LIGHTRAILSTATIONS,580792.050860927,703905.018594772
32,Newark,Essex,32,Orange St.,30766,System.Byte[],40.75062343,-74.18494068,NS,LIGHTRAILSTATIONS,579410.224228259,698503.984449357
33,Newark,Essex,33,Park Ave.,30765,System.Byte[],40.75852585,-74.18498172,NS,LIGHTRAILSTATIONS,579388.521515761,701382.779544771
34,Belleville Twp,Essex,34,Silver Lake,30761,System.Byte[],40.78032659,-74.18062944,NS,LIGHTRAILSTATIONS,580565.243899841,709329.128809527
35,Bloomfield Twp,Essex,35,Grove St.,30539,System.Byte[],40.78044826,-74.18795866,NS,LIGHTRAILSTATIONS,578535.472696926,709366.148092441
36,Newark,Essex,36,NJPAC/Center St,30772,System.Byte[],40.73950064,-74.16557995,NS,LIGHTRAILSTATIONS,584789.439191591,694471.823222354
37,Newark,Essex,37,Atlantic St,30773,System.Byte[],40.74416161,-74.16848935,NS,LIGHTRAILSTATIONS,583976.861092344,696166.745685525
38,Newark,Essex,38,Harriet Tubman Square,30776,System.Byte[],40.74394356,-74.16984897,NS,LIGHTRAILSTATIONS,583600.447475094,696085.889548026
39,Newark,Essex,39,Riverfront Stadium,30774,System.Byte[],40.74601495,-74.16965991,NS,LIGHTRAILSTATIONS,583649.990026925,696840.689219527
40,Newark,Essex,40,Broad Street Station,30775,System.Byte[],40.74720577,-74.17150598,NS,LIGHTRAILSTATIONS,583136.890659425,697272.584025025
41,Trenton,Mercer,41,Trenton,30855,System.Byte[],40.21837215,-74.75508319,RL,LIGHTRAILSTATIONS,420895.379513174,504561.061312355
42,Trenton,Mercer,42,Hamilton Avenue,30856,System.Byte[],40.21194075,-74.75576517,RL,LIGHTRAILSTATIONS,420698.189946927,502218.884238191
43,Trenton,Mercer,43,Cass Street,30857,System.Byte[],40.20542752,-74.754276,RL,LIGHTRAILSTATIONS,421107.270493593,499845.156702191
44,Bordentown City,Burlington,44,Bordentown,30858,System.Byte[],40.14818914,-74.71624254,RL,LIGHTRAILSTATIONS,431679.023300175,478967.273589276
45,Florence Twp,Burlington,45,Roebling,30859,System.Byte[],40.11689175,-74.77023597,RL,LIGHTRAILSTATIONS,416551.642137676,467608.240533106
46,Florence Twp,Burlington,46,Florence,30860,System.Byte[],40.10000062,-74.80510807,RL,LIGHTRAILSTATIONS,406778.293246094,461487.069376521
47,Burlington City,Burlington,47,Burlington Town Centre,30861,System.Byte[],40.07737091,-74.85942872,RL,LIGHTRAILSTATIONS,391550.055986091,453300.808518104
48,Burlington City,Burlington,48,Burlington South,30862,System.Byte[],40.07459303,-74.86900746,RL,LIGHTRAILSTATIONS,388865.542654343,452299.921412274
49,Beverly,Burlington,49,Beverly/Edgewater Park,30863,System.Byte[],40.061095,-74.915216,RL,LIGHTRAILSTATIONS,375912.019676927,447440.158494025
50,Delanco Twp,Burlington,50,Delanco,30864,System.Byte[],40.04810259,-74.95036392,RL,LIGHTRAILSTATIONS,366050.649964008,442755.431643024
51,Riverside Twp,Burlington,51,Riverside,30865,System.Byte[],40.03926018,-74.95889042,RL,LIGHTRAILSTATIONS,363647.145256594,439546.730383277
52,Cinnaminson Twp,Burlington,52,Cinnaminson,30866,System.Byte[],40.01665234,-74.9999805,RL,LIGHTRAILSTATIONS,352096.682465177,431373.667989276
53,Riverton,Burlington,53,Riverton,30867,System.Byte[],40.00896439,-75.01307949,RL,LIGHTRAILSTATIONS,348411.938522343,428594.165018104
54,Palmyra,Burlington,54,Palmyra,30868,System.Byte[],40.00426258,-75.02109456,RL,LIGHTRAILSTATIONS,346156.901693843,426894.541448854
