OBJECTID_1,STATION_ID,COUNTY,LATITUDE,LONGITUDE,ATIS_ID,SE_ANNO_CAD_DATA,LINE_CODE,LAYER,MUNICIPALITY,RAIL_SERVICE,ADA,x,y
1,Point Pleasant Beach,Ocean,40.09272,-74.04819,123,System.Byte[],NC,STATIONS,Point Pleasant Beach,NC,YES,618521.133867174,459008.903401107
2,Spring Lake,Monmouth,40.15057,-74.03546,142,System.Byte[],NC,STATIONS,Spring Lake,NC,NO,621972.995729841,480099.145013191
3,Belmar,Monmouth,40.18059,-74.0273,15,System.Byte[],NC,STATIONS,Belmar,NC,NO,624196.750796758,491047.220886022
4,Bradley Beach,Monmouth,40.20378,-74.01896,22,System.Byte[],NC,STATIONS,Neptune Twp,NC,NO,626480.961123344,499505.650819525
5,Asbury Park,Monmouth,40.21536,-74.01479,8,System.Byte[],NC,STATIONS,Asbury Park,NC,YES,627622.289549343,503731.988823526
6,Allenhurst,Monmouth,40.23766,-74.00676,4,System.Byte[],NC,STATIONS,Allenhurst,NC,NO,629819.023672927,511866.494864188
7,Elberon,Monmouth,40.26532,-73.99759,40,System.Byte[],NC,STATIONS,Long Branch,NC,YES,632321.851672508,521958.782750443
8,Long Branch,Monmouth,40.29715,-73.98834,74,System.Byte[],NC,STATIONS,Long Branch,NC,YES,634837.338439427,533565.813998275
9,Monmouth Park,Monmouth,40.31339,-74.01519,RAIL0162,System.Byte[],NC,STATIONS,Oceanport,NC,NO,627314.568051927,539442.008282609
10,Little Silver,Monmouth,40.32671,-74.04105,73,System.Byte[],NC,STATIONS,Little Silver,NC,NO,620077.395190343,544255.054430775
11,Red Bank,Monmouth,40.34831,-74.07455,131,System.Byte[],NC,STATIONS,Red Bank,NC,YES,610700.534679011,552076.810768858
12,Middletown,Monmouth,40.38978,-74.11613,86,System.Byte[],NC,STATIONS,Middletown Twp,NC,YES,599046.041583844,567129.42173969
13,Hazlet,Monmouth,40.41538,-74.19039,58,System.Byte[],NC,STATIONS,Hazlet Twp,NC,YES,578328.624685425,576373.766768023
14,Aberdeen-Matawan,Monmouth,40.42017,-74.2237,83,System.Byte[],NC,STATIONS,Matawan,NC,YES,569049.940815009,578087.256451271
15,South Amboy,Middlesex,40.48431,-74.28014,140,System.Byte[],NC,STATIONS,South Amboy,NC,YES,553278.928393845,601408.574309856
16,Perth Amboy,Middlesex,40.50937,-74.2737,120,System.Byte[],NC,STATIONS,Perth Amboy,NC,NO,555045.146318093,610543.227300361
17,Woodbridge,Middlesex,40.55661,-74.27775,159,System.Byte[],NC,STATIONS,Woodbridge Twp,NC,YES,553877.553508926,627747.700437278
18,Avenel,Middlesex,40.57769,-74.27746,11,System.Byte[],NC,STATIONS,Woodbridge Twp,NC,NO,553936.532393593,635426.622743443
19,Rahway,Union,40.60639,-74.27682,128,System.Byte[],NE,STATIONS,Rahway,"NE, NC",YES,554090.197768677,645883.036213771
20,Linden,Union,40.62949,-74.25177,70,System.Byte[],NE,STATIONS,Linden,"NE, NC",YES,561020.596965592,654315.616461441
21,Elizabeth,Union,40.66786,-74.21517,41,System.Byte[],NE,STATIONS,Elizabeth,"NE, NC",YES,571133.808366425,668325.007733941
22,North Elizabeth,Union,40.68027,-74.20616,110,System.Byte[],NE,STATIONS,Elizabeth,"NE, NC",YES,573617.577677093,672853.881878272
23,Newark Airport,Essex,40.70442,-74.19071,RAIL0164,System.Byte[],NE,STATIONS,Newark,"NE, NC",YES,577870.149224427,681664.838993855
24,Newark Penn Station,Essex,40.73426,-74.16454,108,System.Byte[],NE,STATIONS,Newark,"NE, NC, RV",YES,585083.768983509,692562.465164438
25,High Bridge,Hunterdon,40.66689,-74.89586,59,System.Byte[],RV,STATIONS,High Bridge,RV,NO,382317.769004509,668089.081040442
26,Lebanon,Hunterdon,40.63692,-74.83576,68,System.Byte[],RV,STATIONS,Lebanon,RV,NO,398945.644869424,657102.02394636
27,White House,Hunterdon,40.61562,-74.77066,158,System.Byte[],RV,STATIONS,Readington Twp,RV,NO,416989.26462201,649281.301726937
28,North Branch,Somerset,40.59203,-74.68379,109,System.Byte[],RV,STATIONS,Branchburg Twp,RV,NO,440949.923065428,640832.998741694
29,Raritan,Somerset,40.57099,-74.63437,130,System.Byte[],RV,STATIONS,Raritan,RV,NO,454800.034800842,632938.63756194
30,Somerville,Somerset,40.56607,-74.61397,139,System.Byte[],RV,STATIONS,Somerville,RV,YES,460462.844341341,631137.845231771
31,Bridgewater,Somerset,40.55991,-74.55174,24,System.Byte[],RV,STATIONS,Bridgewater Twp,RV,NO,477750.284832008,628877.264779188
32,Bound Brook,Somerset,40.56093,-74.53061,21,System.Byte[],RV,STATIONS,Bound Brook,RV,NO,483620.067055676,629245.012075193
33,Dunellen,Middlesex,40.59087,-74.46304,36,System.Byte[],RV,STATIONS,Dunellen,RV,NO,502389.526563928,640151.875103943
34,Plainfield,Union,40.61843,-74.42016,121,System.Byte[],RV,STATIONS,Plainfield,RV,YES,514288.970612761,650199.185061775
35,Netherwood,Union,40.62916,-74.40344,103,System.Byte[],RV,STATIONS,Plainfield,RV,NO,518925.274660341,654113.149018608
36,Fanwood,Union,40.64092,-74.38522,44,System.Byte[],RV,STATIONS,Fanwood,RV,NO,523975.552945592,658404.935382523
37,Westfield,Union,40.64946,-74.34762,156,System.Byte[],RV,STATIONS,Westfield,RV,YES,534403.600659009,661529.018373191
38,Garwood,Union,40.65257,-74.32483,47,System.Byte[],RV,STATIONS,Garwood,RV,NO,540724.929223675,662673.905191027
39,Cranford,Union,40.65557,-74.30288,32,System.Byte[],RV,STATIONS,Cranford Twp,RV,YES,546814.145391677,663781.679878354
40,Gladstone,Somerset,40.72006,-74.66607,49,System.Byte[],GL,STATIONS,Gladstone,GL,YES,446095.023667593,687255.772037692
41,Peapack,Somerset,40.70878,-74.65846,118,System.Byte[],GL,STATIONS,Peapack,GL,NO,448196.807849843,683143.449881777
42,Far Hills,Somerset,40.68572,-74.63379,45,System.Byte[],GL,STATIONS,Far Hills,GL,NO,455024.597015761,674729.991971187
43,Bernardsville,Somerset,40.71684,-74.57103,18,System.Byte[],GL,STATIONS,Bernardsville,GL,NO,472435.432928927,686047.651750527
44,Basking Ridge,Somerset,40.71141,-74.55527,12,System.Byte[],GL,STATIONS,Bernards Twp,GL,NO,476803.20897026,684065.082224861
45,Lyons,Somerset,40.68488,-74.5495,76,System.Byte[],GL,STATIONS,Bernards Twp,GL,YES,478398.156239677,674400.316121355
46,Millington,Morris,40.67352,-74.5236,89,System.Byte[],GL,STATIONS,Long Hill Twp,GL,NO,485580.57330526,670261.310619861
47,Stirling,Morris,40.67458,-74.49378,144,System.Byte[],GL,STATIONS,Long Hill Twp,GL,NO,493850.706699342,670643.972584188
48,Gillette,Morris,40.67826,-74.46829,48,System.Byte[],GL,STATIONS,Long Hill Twp,GL,NO,500919.146958761,671987.421668939
49,Murray Hill,Union,40.69503,-74.40322,100,System.Byte[],GL,STATIONS,New Providence,GL,NO,518959.457662843,678108.99374336
50,Berkeley Heights,Union,40.68233,-74.44267,17,System.Byte[],GL,STATIONS,Berkeley Heights Twp,GL,NO,508023.982158508,673474.764494777
51,New Providence,Union,40.71211,-74.38644,105,System.Byte[],GL,STATIONS,New Providence,GL,NO,523603.016289093,684338.900246777
52,Summit,Union,40.71654,-74.35775,146,System.Byte[],ME,STATIONS,Summit,"ME, GL",YES,531554.631291341,685961.929152943
53,Short Hills,Essex,40.72526,-74.3238,137,System.Byte[],ME,STATIONS,Millburn Twp,"ME, GL",NO,540959.428754676,689158.100910194
54,Millburn,Essex,40.72563,-74.30381,88,System.Byte[],ME,STATIONS,Millburn Twp,"ME, GL",NO,546498.35993401,689304.806981608
55,Maplewood,Essex,40.73116,-74.2754,81,System.Byte[],ME,STATIONS,Maplewood Twp,"ME, GL",NO,554366.040720925,691336.472865775
56,South Orange,Essex,40.7459,-74.26058,141,System.Byte[],ME,STATIONS,South Orange Twp,"ME, GL",YES,558459.231681511,696716.986711025
